population_id,weight_g,source,as_of_date,weight_date,current_count,current_biomass_kg,sample_size,population_name,fishgroup,environment,batch_label,input_project_id,input_project_name,year_class
347957E8-063F-4742-B20B-8474A1422656,0.1,status,2026-02-04,2024-09-04,86976.0,8.6976,,Benchmark Gen. Juni 2024,242.0038,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
2CD48088-C992-46A9-85A1-850A06E07691,16.35,status,2026-02-04,2025-01-23,197557.0,3230.03,,Benchmark Gen. Juni 2024,242.0113,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
673443F1-DEC8-4FEE-B7F7-8634284A37C1,3.2,status,2026-02-04,2024-12-05,59971.0,191.907,,Benchmark Gen. Juni 2024,242.0080,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
D002F282-27CC-4B5B-91E6-867D8682D896,193.0,status,2026-02-04,2025-06-25,55607.0,10732.2,,Benchmark Gen. Juni 2024,242.0275,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7E3BB58F-EBB2-41A6-9D23-87B53EC7B947,135.83,status,2026-02-04,2025-06-06,129750.0,17624.5,,Benchmark Gen. Juni 2024,242.0266,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
5064DA31-50F4-4973-973B-88372F6389B0,465.0,status,2026-02-04,2025-07-31,103150.0,47964.7,,Benchmark Gen. Juni 2024,242.0243,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
7F8275C0-B41D-482C-AF0A-88376335521E,0.1,status,2026-02-04,2024-09-04,86897.0,8.6897,,Benchmark Gen. Juni 2024,242.0022,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
BD7FB17A-D0CA-4013-8889-891F2A6D6362,225.82,status,2026-02-04,2025-07-16,16981.0,3834.59,,Benchmark Gen. Juni 2024,242.0287,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
0DF28C58-A007-4714-89BE-8A6B532D136E,82.81,status,2026-02-04,2025-04-30,239344.0,19819.9,,Benchmark Gen. Juni 2024,242.0207,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
DE9BDDEA-5926-4E91-A4B2-8B69EB9A2935,0.1,status,2026-02-04,2024-09-04,86543.0,8.6543,,Benchmark Gen. Juni 2024,242.0030,FW,Benchmark Gen. Juni 2024,61088D52-8A7E-454B-96FC-7720B2244488,Benchmark Gen. Juni 2024,2024
